City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,Bac Lieu,9.285,105.7244,79.63,83,79,11.34,VN,2022-09-14 23:47:04
343,Cururupu,-1.8283,-44.8683,76.86,86,34,5.41,BR,2022-09-14 23:47:04
344,Pringsewu,-5.3582,104.9744,73.83,92,51,0.22,ID,2022-09-14 23:47:05
345,Lorengau,-2.0226,147.2712,82.65,75,8,12.1,PG,2022-09-14 23:47:05
346,Jiaojiang,28.6803,121.4428,82.0,82,37,3.4,CN,2022-09-14 23:47:06
347,Panguna,-6.3164,155.4848,79.56,66,47,3.98,PG,2022-09-14 23:47:06
348,Virginia Beach,36.8529,-75.978,76.01,69,75,3.44,US,2022-09-14 23:47:07
349,Foix,42.8333,1.5833,62.51,80,36,3.58,FR,2022-09-14 23:47:07
350,Lavrentiya,65.5833,-171.0,45.12,90,100,11.81,RU,2022-09-14 23:47:08
351,Marathon,44.9,-89.7668,65.95,73,34,7.4,US,2022-09-14 23:47:09
352,Cutervo,-6.379,-78.8157,53.55,80,85,1.57,PE,2022-09-14 23:47:09
353,Barranca,-10.75,-77.7667,60.48,83,57,7.49,PE,2022-09-14 23:47:10
354,Aurillac,44.9167,2.45,61.68,82,0,5.75,FR,2022-09-14 23:47:10
355,Gawler,-34.6,138.7333,59.47,76,39,11.23,AU,2022-09-14 23:47:10
356,Yining,29.0361,114.5636,74.03,70,0,1.68,CN,2022-09-14 23:47:11
357,Kahului,20.8947,-156.47,89.62,64,40,24.16,US,2022-09-14 23:44:14
358,Dunedin,-45.8742,170.5036,55.8,54,2,12.12,NZ,2022-09-14 23:45:30
359,Brae,60.3964,-1.353,50.58,74,46,16.51,GB,2022-09-14 23:47:12
360,Pangai,-19.8,-174.35,80.71,74,20,13.8,TO,2022-09-14 23:47:12
361,Srebrenik,44.7078,18.4881,63.25,63,69,5.57,BA,2022-09-14 23:47:13
362,Khasan,42.4308,130.6434,62.91,77,100,1.16,RU,2022-09-14 23:47:13
363,Mazamari,-11.3258,-74.5308,71.8,88,90,2.42,PE,2022-09-14 23:47:13
364,Labuhan,-6.8844,112.2051,78.55,77,43,7.99,ID,2022-09-14 23:47:14
365,Kodinsk,58.6881,99.1844,42.62,67,97,0.96,RU,2022-09-14 23:48:14
366,Srednekolymsk,67.45,153.6833,43.39,52,58,9.62,RU,2022-09-14 23:48:15
367,Tahe,52.3333,124.7333,46.4,98,100,3.53,CN,2022-09-14 23:48:15
368,Itoman,26.1247,127.6694,81.37,91,75,6.91,JP,2022-09-14 23:48:16
369,Vagur,61.4732,-6.8119,49.33,81,87,16.04,FO,2022-09-14 23:48:16
370,Bagotville,-28.9833,153.4167,66.63,83,100,5.55,AU,2022-09-14 23:48:16
371,Malanville,11.8685,3.3899,78.44,84,86,6.71,BJ,2022-09-14 23:48:17
372,Chekhov,55.1431,37.4711,51.75,96,97,3.91,RU,2022-09-14 23:48:17
373,Iquique,-20.2208,-70.1431,59.04,80,36,0.81,CL,2022-09-14 23:44:36
374,Magadan,59.5667,150.8,45.54,58,100,6.11,RU,2022-09-14 23:48:18
375,Worcester,42.3334,-71.8328,70.16,83,0,6.91,US,2022-09-14 23:48:18
376,Nabire,-3.3667,135.4833,83.39,69,27,1.52,ID,2022-09-14 23:48:19
377,Bud,39.447,-86.1758,78.78,80,1,5.14,US,2022-09-14 23:48:19
378,Esperance,-33.8667,121.9,51.64,74,35,26.42,AU,2022-09-14 23:44:33
379,Mayo,38.8876,-76.5119,77.95,77,0,4.61,US,2022-09-14 23:48:20
380,Riohacha,11.5444,-72.9072,87.91,62,75,9.22,CO,2022-09-14 23:48:20
